chr	intergenic_region_start	intergenic_region_end	rand_seq_start	rand_seq_end
chr12	8897459	8904508	8900177	8900318
chr12	8897459	8904508	8901916	8902057
chr12	9324088	9324851	9324135	9324276
chr12	9324088	9324851	9324373	9324514
chr12	9356808	9357463	9357019	9357160
chr12	10143614	10148300	10145058	10145199
chr12	10143614	10148300	10145811	10145952
chr12	10143614	10148300	10146012	10146153
chr12	10201804	10202876	10202131	10202272
chr12	10464685	10485977	10472540	10472681
chr12	10464685	10485977	10479620	10479761
chr12	10684052	10689088	10685524	10685665
chr12	10684052	10689088	10686054	10686195
chr12	10684052	10689088	10686804	10686945
chr12	10787451	10791531	10789528	10789669
chr12	11295635	11297076	11296826	11296967
chr12	11320436	11341820	11326194	11326335
chr12	11409888	11420209	11410149	11410290
chr12	11524338	11531393	11529098	11529239
chr12	11524338	11531393	11531076	11531217
chr12	11574403	11639673	11581549	11581690
chr12	11574403	11639673	11589289	11589430
chr12	11574403	11639673	11608418	11608559
chr12	12277044	12279226	12277447	12277588
chr12	12277044	12279226	12277752	12277893
chr12	12596958	12601875	12598460	12598601
chr12	12596958	12601875	12600437	12600578
chr12	12801466	12803345	12801726	12801867
chr12	12801466	12803345	12801911	12802052
chr12	12861751	12865476	12862458	12862599
chr12	12861751	12865476	12862994	12863135
chr12	12861751	12865476	12863380	12863521
chr12	12861751	12865476	12864606	12864747
chr12	13032498	13034380	13032766	13032907
chr12	13032498	13034380	13033008	13033149
chr12	13032498	13034380	13033528	13033669
chr12	13159469	13186725	13165946	13166087
chr12	13159469	13186725	13168876	13169017
chr12	13159469	13186725	13173381	13173522
chr12	13469776	13527336	13509682	13509823
chr12	13992134	14182014	14146182	14146323
chr12	14202288	14227260	14223343	14223484
chr12	14202288	14227260	14224957	14225098
chr12	14296110	14346841	14329425	14329566
chr12	14296110	14346841	14336869	14337010
chr12	14853526	14870863	14856145	14856286
chr12	14853526	14870863	14857687	14857828
chr12	14853526	14870863	14858830	14858971
chr12	14853526	14870863	14859973	14860114
chr12	14853526	14870863	14868306	14868447
chr12	14853526	14870863	14868590	14868731
chr12	15016683	15097782	15084962	15085103
chr12	15608331	15610133	15609335	15609476
chr12	16047381	16097508	16069952	16070093
chr12	16047381	16097508	16072757	16072898
chr12	16047381	16097508	16084740	16084881
chr12	16047381	16097508	16094407	16094548
chr12	17081505	17111715	17090010	17090151
chr12	17081505	17111715	17102649	17102790
chr12	17625451	17647279	17633347	17633488
chr12	17625451	17647279	17635582	17635723
chr12	17625451	17647279	17639899	17640040
chr12	17625451	17647279	17640824	17640965
chr12	17625451	17647279	17642313	17642454
chr12	18100193	18179473	18104051	18104192
chr12	18100193	18179473	18109399	18109540
chr12	18100193	18179473	18141172	18141313
chr12	18100193	18179473	18178018	18178159
chr12	19078938	19079130	19078981	19079122
chr12	19118196	19119732	19118408	19118549
chr12	19683089	19714434	19700847	19700988
chr12	19683089	19714434	19701977	19702118
chr12	19734599	19821529	19762290	19762431
chr12	19953109	20004684	19968697	19968838
chr12	20137901	20182289	20144671	20144812
chr12	20137901	20182289	20159454	20159595
chr12	20137901	20182289	20163723	20163864
chr12	20137901	20182289	20169509	20169650
chr12	20137901	20182289	20177118	20177259
chr12	20225309	20310815	20250503	20250644
chr12	20225309	20310815	20282320	20282461
chr12	20225309	20310815	20291461	20291602
chr12	20225309	20310815	20303397	20303538
chr12	20338654	20358536	20346330	20346471
chr12	21101222	21121193	21108854	21108995
chr12	21614847	21625341	21618730	21618871
chr12	21614847	21625341	21619447	21619588
chr12	21614847	21625341	21620504	21620645
chr12	21614847	21625341	21621562	21621703
chr12	21951426	21998457	21957616	21957757
chr12	22019588	22036217	22031920	22032061
chr12	22019588	22036217	22033179	22033320
chr12	22150048	22183390	22150786	22150927
chr12	22150048	22183390	22156319	22156460
chr12	22150048	22183390	22177629	22177770
chr12	22344707	22438582	22365030	22365171
chr12	22554542	22563966	22555705	22555846
chr12	22554542	22563966	22562866	22563007
chr12	22759014	23165635	22791304	22791445
chr12	24595100	24605356	24599707	24599848
chr12	24595100	24605356	24604054	24604195
chr12	24785552	24800023	24793142	24793283
chr12	24785552	24800023	24795839	24795980
chr12	24977504	24983423	24979425	24979566
chr12	24977504	24983423	24980263	24980404
chr12	25260929	25332603	25273312	25273453
chr12	25260929	25332603	25280778	25280919
chr12	25260929	25332603	25303577	25303718
chr12	25367942	25394284	25380755	25380896
chr12	25419494	25425587	25422097	25422238
chr12	25451052	25455947	25453364	25453505
chr12	25658578	25769286	25673380	25673521
chr12	25658578	25769286	25697389	25697530
chr12	25789569	25793192	25790429	25790570
chr12	25789569	25793192	25792195	25792336
chr12	25816259	25864019	25839093	25839234
chr12	25816259	25864019	25853740	25853881
chr12	25884079	25944653	25903391	25903532
chr12	25884079	25944653	25904664	25904805
chr12	25884079	25944653	25907402	25907543
chr12	26089889	26110029	26097389	26097530
chr12	26089889	26110029	26108757	26108898
chr12	27048951	27071056	27064561	27064702
chr12	27048951	27071056	27066093	27066234
chr12	27208785	27234285	27232760	27232901
chr12	27512185	27514205	27513418	27513559
chr12	27834106	27948083	27865438	27865579
chr12	27834106	27948083	27909864	27910005
chr12	27982733	28052696	28004540	28004681
chr12	27982733	28052696	28007120	28007261
chr12	27982733	28052696	28020443	28020584
chr12	27982733	28052696	28027480	28027621
chr12	27982733	28052696	28036842	28036983
chr12	28144574	28155234	28152381	28152522
chr12	28575171	28703132	28611443	28611584
chr12	28575171	28703132	28627570	28627711
chr12	28575171	28703132	28636870	28637011
chr12	28575171	28703132	28664221	28664362
chr12	28575171	28703132	28674769	28674910
chr12	28804950	29030615	28839377	28839518
chr12	29067834	29124650	29073515	29073656
chr12	29067834	29124650	29101249	29101390
chr12	29794759	29858737	29803881	29804022
chr12	30061496	30220778	30073974	30074115
chr12	30061496	30220778	30191047	30191188
chr12	30330798	30444918	30341696	30341837
chr12	30330798	30444918	30351646	30351787
chr12	30330798	30444918	30426041	30426182
chr12	30530453	30552964	30539186	30539327
chr12	30612160	30618987	30614324	30614465
chr12	30612160	30618987	30618089	30618230
chr12	30812711	30851920	30813333	30813474
chr12	30812711	30851920	30849712	30849853
chr12	30890389	30908506	30901388	30901529
chr12	31211235	31212400	31211410	31211551
chr12	31211235	31212400	31211720	31211861
chr12	31813090	31866968	31861329	31861470
chr12	32003107	32096846	32043309	32043450
chr12	32003107	32096846	32046941	32047082
chr12	32003107	32096846	32072164	32072305
chr12	32662359	32669300	32666602	32666743
chr12	32906777	32975737	32929155	32929296
chr12	32997301	33364237	33019573	33019714
chr12	32997301	33364237	33069176	33069317
chr12	32997301	33364237	33096189	33096330
chr12	32997301	33364237	33110126	33110267
chr12	32997301	33364237	33152892	33153033
chr12	32997301	33364237	33232937	33233078
chr12	32997301	33364237	33325678	33325819
chr12	33465655	33566094	33526042	33526183
chr12	33465655	33566094	33540627	33540768
chr12	33465655	33566094	33541113	33541254
chr12	33465655	33566094	33546740	33546881
chr12	33586200	33675956	33603729	33603870
chr12	33586200	33675956	33626268	33626409
chr12	33701866	33913373	33780895	33781036
chr12	33933480	34012376	34005806	34005947
chr12	33933480	34012376	34011382	34011523
chr12	34038302	34044076	34039635	34039776
chr12	34067180	34154772	34072921	34073062
chr12	34067180	34154772	34130078	34130219
chr12	34176954	34181036	34178638	34178779
chr12	34176954	34181036	34178866	34179007
chr12	34219801	34220378	34219973	34220114
chr12	34219801	34220378	34220139	34220280
chr12	34260265	34769406	34366005	34366146
chr12	37185253	37565342	37248489	37248630
chr12	37185253	37565342	37402845	37402986
chr12	37587517	38068178	37841880	37842021
chr12	38096652	38128489	38100525	38100666
chr12	38096652	38128489	38107715	38107856
chr12	38177634	38191508	38179245	38179386
chr12	38177634	38191508	38183426	38183567
chr12	38339721	38600435	38454381	38454522
chr12	38339721	38600435	38541846	38541987
chr12	38630583	38642202	38638623	38638764
chr12	38630583	38642202	38638843	38638984
chr12	38919592	38984831	38963969	38964110
chr12	39006984	39048000	39028287	39028428
chr12	39477362	39521024	39477417	39477558
chr12	39477362	39521024	39478076	39478217
chr12	39477362	39521024	39502446	39502587
chr12	39477362	39521024	39504324	39504465
chr12	40116081	40130925	40128252	40128393
chr12	40177847	40197043	40180043	40180184
chr12	40177847	40197043	40181751	40181892
chr12	40580757	40682438	40597814	40597955
chr12	40580757	40682438	40635962	40636103
chr12	41082415	41173029	41126381	41126522
chr12	41082415	41173029	41129723	41129864
chr12	41668793	41688494	41670909	41671050
chr12	41710251	41754188	41732846	41732987
chr12	41710251	41754188	41737183	41737324
chr12	41775581	41901255	41812900	41813041
chr12	41775581	41901255	41819913	41820054
chr12	41922398	41977434	41924677	41924818
chr12	42036602	42059932	42043983	42044124
chr12	42036602	42059932	42045731	42045872
chr12	42036602	42059932	42046102	42046243
chr12	42036602	42059932	42048947	42049088
chr12	42599746	42605502	42601593	42601734
chr12	42727119	42919850	42834574	42834715
chr12	43173110	43342762	43300505	43300646
chr12	43173110	43342762	43324801	43324942
chr12	43671283	43708991	43685872	43686013
chr12	43671283	43708991	43698477	43698618
chr12	43671283	43708991	43699211	43699352
chr12	44931848	45004671	44991740	44991881
chr12	45083035	45107770	45087890	45088031
chr12	45083035	45107770	45097723	45097864
chr12	45083035	45107770	45102631	45102772
chr12	45127888	45163033	45127971	45128112
chr12	45127888	45163033	45130064	45130205
chr12	45127888	45163033	45141904	45142045
chr12	45578844	45585825	45579469	45579610
chr12	45578844	45585825	45580408	45580549
chr12	45578844	45585825	45582033	45582174
chr12	45620646	45715719	45631149	45631290
chr12	45620646	45715719	45652304	45652445
chr12	45620646	45715719	45692128	45692269
chr12	45620646	45715719	45697231	45697372
chr12	46014685	46173062	46067498	46067639
chr12	46662579	46671990	46667250	46667391
chr12	46692734	46754760	46711015	46711156
chr12	46692734	46754760	46732271	46732412
chr12	46842431	46931489	46871587	46871728
chr12	46982290	47065706	47025274	47025415
chr12	47260461	47295916	47278608	47278749
chr12	47260461	47295916	47291708	47291849
chr12	47317399	47331613	47329065	47329206
chr12	47317399	47331613	47330627	47330768
chr12	47381309	47405007	47384676	47384817
chr12	47381309	47405007	47402725	47402866
chr12	47430179	47453086	47432894	47433035
chr12	47430179	47453086	47439464	47439605
chr12	47473621	47474688	47474063	47474204
chr12	47495722	47651248	47516066	47516207
chr12	47495722	47651248	47577793	47577934
chr12	48251823	48269005	48258847	48258988
chr12	48251823	48269005	48261437	48261578
chr12	48317429	48318979	48317713	48317854
chr12	48366545	48375349	48371717	48371858
chr12	48366545	48375349	48373853	48373994
chr12	48581845	48617840	48586365	48586506
chr12	48581845	48617840	48602492	48602633
chr12	48875870	48882129	48879985	48880126
chr12	49157863	49174794	49173792	49173933
chr12	50043440	50047595	50044616	50044757
chr12	50306467	50317308	50310693	50310834
chr12	50306467	50317308	50314095	50314236
chr12	50306467	50317308	50316729	50316870
chr12	50831162	50831497	50831340	50831481
chr12	51228062	51228825	51228131	51228272
chr12	51228062	51228825	51228366	51228507
chr12	51525763	51581232	51562444	51562585
chr12	51525763	51581232	51575300	51575441
chr12	51525763	51581232	51577085	51577226
chr12	51862729	51878102	51865426	51865567
chr12	51862729	51878102	51868110	51868251
chr12	51862729	51878102	51871610	51871751
chr12	51933361	51941698	51933877	51934018
chr12	51933361	51941698	51935062	51935203
chr12	51933361	51941698	51937752	51937893
chr12	52128218	52158995	52147800	52147941
chr12	52128218	52158995	52157560	52157701
chr12	52331398	52334218	52333535	52333676
chr12	52662211	52664735	52663097	52663238
chr12	52858994	52875758	52860774	52860915
chr12	52858994	52875758	52868338	52868479
chr12	52858994	52875758	52871472	52871613
chr12	52962906	52996455	52963765	52963906
chr12	52962906	52996455	52970800	52970941
chr12	52962906	52996455	52981636	52981777
chr12	53354793	53370175	53363343	53363484
chr12	53652938	53655169	53653435	53653576
chr12	53691423	53698516	53696396	53696537
chr12	53908384	53925327	53908754	53908895
chr12	53908384	53925327	53917867	53918008
chr12	54212333	54220941	54220190	54220331
chr12	54212333	54220941	54220767	54220908
chr12	54483602	54487751	54483884	54484025
chr12	54483602	54487751	54485348	54485489
chr12	54483602	54487751	54485827	54485968
chr12	54658365	54791884	54673975	54674116
chr12	54658365	54791884	54674977	54675118
chr12	54658365	54791884	54690580	54690721
chr12	54813623	54820680	54818315	54818456
chr12	54868387	54906228	54885375	54885516
chr12	55045756	55105533	55057967	55058108
chr12	55045756	55105533	55090510	55090651
chr12	55142750	55148847	55143745	55143886
chr12	55169801	55183859	55177946	55178087
chr12	55169801	55183859	55180285	55180426
chr12	55204815	55211024	55205168	55205309
chr12	55204815	55211024	55205938	55206079
chr12	55204815	55211024	55207463	55207604
chr12	55204815	55211024	55210064	55210205
chr12	55231975	55234608	55232951	55233092
chr12	55231975	55234608	55233110	55233251
chr12	55231975	55234608	55233252	55233393
chr12	55273434	55273749	55273492	55273633
chr12	55480138	55482377	55481528	55481669
chr12	55503316	55512592	55506221	55506362
chr12	55533471	55539601	55535874	55536015
chr12	55591459	55601622	55592244	55592385
chr12	55591459	55601622	55600698	55600839
chr12	55622554	55626891	55623678	55623819
chr12	55852936	55860026	55854581	55854722
chr12	55852936	55860026	55855429	55855570
chr12	56054697	56070107	56063215	56063356
chr12	56054697	56070107	56066527	56066668
chr12	56392831	56406362	56393688	56393829
chr12	56392831	56406362	56396519	56396660
chr12	56392831	56406362	56404534	56404675
chr12	56392831	56406362	56405463	56405604
chr12	56498161	56500940	56498979	56499120
chr12	56698284	56702426	56700272	56700413
chr12	56797790	56851374	56805405	56805546
chr12	56882601	56913132	56887846	56887987
chr12	57643201	57658943	57650494	57650635
chr12	57856729	57859834	57858536	57858677
chr12	57906832	57921448	57917281	57917422
chr12	57994844	58071207	58008561	58008702
chr12	58107993	58166535	58117176	58117317
chr12	58107993	58166535	58137415	58137556
chr12	58107993	58166535	58151888	58152029
chr12	58107993	58166535	58157552	58157693
chr12	58187994	58234343	58200740	58200881
chr12	58187994	58234343	58216613	58216754
chr12	58254904	58318380	58279790	58279931
chr12	58347040	58384614	58359037	58359178
chr12	58473926	58541088	58511751	58511892
chr12	58822669	58862154	58828932	58829073
chr12	58822669	58862154	58833719	58833860
chr12	58822669	58862154	58835836	58835977
chr12	58822669	58862154	58846588	58846729
chr12	58822669	58862154	58854630	58854771
chr12	59175497	59359050	59201814	59201955
chr12	59175497	59359050	59207174	59207315
chr12	59175497	59359050	59267392	59267533
chr12	59379151	59440672	59413246	59413387
chr12	59379151	59440672	59424957	59425098
chr12	59460772	59510999	59482130	59482271
chr12	59460772	59510999	59503506	59503647
chr12	59534177	59576792	59536679	59536820
chr12	59534177	59576792	59547972	59548113
chr12	59799841	59802093	59800086	59800227
chr12	59799841	59802093	59800413	59800554
chr12	59799841	59802093	59801052	59801193
chr12	59822618	60109461	59955430	59955571
chr12	60137312	60251704	60241942	60242083
chr12	60137312	60251704	60247271	60247412
chr12	60275882	60408021	60395677	60395818
chr12	60275882	60408021	60397655	60397796
chr12	60275882	60408021	60404608	60404749
chr12	60428234	61220942	60658342	60658483
chr12	60428234	61220942	60971098	60971239
chr12	61242952	61590449	61544881	61545022
chr12	61610843	61653446	61630177	61630318
chr12	61610843	61653446	61649384	61649525
chr12	62426389	62456825	62440088	62440229
chr12	62426389	62456825	62441286	62441427
chr12	62632214	62633993	62632500	62632641
chr12	62632214	62633993	62632699	62632840
chr12	62632214	62633993	62633369	62633510
chr12	62945150	62955302	62945396	62945537
chr12	62945150	62955302	62951071	62951212
chr12	62976024	62992449	62980628	62980769
chr12	62976024	62992449	62985943	62986084
chr12	63015082	63045074	63020975	63021116
chr12	63015082	63045074	63027016	63027157
chr12	63065812	63132758	63125484	63125625
chr12	63161201	63261325	63231265	63231406
chr12	63161201	63261325	63235272	63235413
chr12	63383753	63535474	63450481	63450622
chr12	63734931	63750302	63749024	63749165
chr12	64172217	64176315	64173544	64173685
chr12	64172217	64176315	64174586	64174727
chr12	64172217	64176315	64175104	64175245
chr12	64239238	64254761	64247318	64247459
chr12	65002291	65040625	65025090	65025231
chr12	65002291	65040625	65032762	65032903
chr12	65145548	65154768	65152117	65152258
chr12	65258355	65268682	65259407	65259548
chr12	65258355	65268682	65261339	65261480
chr12	65258355	65268682	65267990	65268131
chr12	65656488	65748019	65668811	65668952
chr12	65656488	65748019	65712494	65712635
chr12	65976291	66013619	65987463	65987604
chr12	66047744	66056220	66052348	66052489
chr12	66076338	66106554	66100100	66100241
chr12	66264622	66265932	66265629	66265770
chr12	67142205	67255838	67212057	67212198
chr12	67362680	67370980	67366175	67366316
chr12	67490694	67510081	67493644	67493785
chr12	67490694	67510081	67500872	67501013
chr12	67490694	67510081	67505087	67505228
chr12	67490694	67510081	67505565	67505706
chr12	67600003	67638744	67609232	67609373
chr12	67600003	67638744	67615145	67615286
chr12	67739475	67919234	67742534	67742675
chr12	67739475	67919234	67800135	67800276
chr12	67739475	67919234	67918333	67918474
chr12	68046846	68132578	68062805	68062946
chr12	68046846	68132578	68096081	68096222
chr12	68046846	68132578	68129247	68129388
chr12	68169740	68172904	68172319	68172460
chr12	68235810	68238241	68237313	68237454
chr12	68347188	68421841	68377222	68377363
chr12	68461484	68463730	68462886	68463027
chr12	68791468	68794436	68792475	68792616
chr12	68791468	68794436	68792925	68793066
chr12	68791468	68794436	68794150	68794291
chr12	68973469	68997658	68980922	68981063
chr12	68973469	68997658	68981634	68981775
chr12	68973469	68997658	68994749	68994890
chr12	69295684	69338380	69306903	69307044
chr12	69295684	69338380	69307078	69307219
chr12	70095135	70103657	70095908	70096049
chr12	70095135	70103657	70098118	70098259
chr12	70095135	70103657	70100592	70100733
chr12	70095135	70103657	70101198	70101339
chr12	70095135	70103657	70103127	70103268
chr12	70210751	70212189	70211011	70211152
chr12	70210751	70212189	70211354	70211495
chr12	70210751	70212189	70211925	70212066
chr12	70453923	70458078	70454158	70454299
chr12	70453923	70458078	70454507	70454648
chr12	70453923	70458078	70455321	70455462
chr12	70930738	71100215	71090030	71090171
chr12	71167999	71206833	71172275	71172416
chr12	71167999	71206833	71179344	71179485
chr12	71167999	71206833	71179777	71179918
chr12	71230834	71267351	71248417	71248558
chr12	71325369	71420073	71408751	71408892
chr12	71741049	71744862	71743327	71743468
chr12	71741049	71744862	71744353	71744494
chr12	72042440	72077265	72046848	72046989
chr12	72042440	72077265	72062323	72062464
chr12	72680758	72909909	72694783	72694924
chr12	72680758	72909909	72737892	72738033
chr12	72680758	72909909	72738235	72738376
chr12	73052903	73149189	73105186	73105327
chr12	73052903	73149189	73114512	73114653
chr12	73375201	73638639	73570656	73570797
chr12	73689296	73748656	73701857	73701998
chr12	73856177	74029023	74018437	74018578
chr12	74059981	74123172	74062463	74062604
chr12	74059981	74123172	74067054	74067195
chr12	74059981	74123172	74097212	74097353
chr12	74351335	74391972	74359557	74359698
chr12	74351335	74391972	74369459	74369600
chr12	74351335	74391972	74389831	74389972
chr12	74412532	74527834	74435196	74435337
chr12	74412532	74527834	74507330	74507471
chr12	74631059	74653567	74638771	74638912
chr12	74631059	74653567	74645765	74645906
chr12	74631059	74653567	74648360	74648501
chr12	74674234	74717888	74693662	74693803
chr12	74944381	75006187	74960048	74960189
chr12	74944381	75006187	74976500	74976641
chr12	75219839	75224739	75221691	75221832
chr12	75219839	75224739	75224394	75224535
chr12	75442688	75470754	75456828	75456969
chr12	75442688	75470754	75459957	75460098
chr12	75442688	75470754	75465563	75465704
chr12	75442688	75470754	75466905	75467046
chr12	75844768	75947832	75919124	75919265
chr12	75844768	75947832	75939512	75939653
chr12	75977062	75992371	75986813	75986954
chr12	76149671	76249882	76171798	76171939
chr12	76149671	76249882	76184253	76184394
chr12	76149671	76249882	76234872	76235013
chr12	76732360	76747113	76732999	76733140
chr12	76891465	76973937	76962734	76962875
chr12	76891465	76973937	76964119	76964260
chr12	76994780	77011250	76997250	76997391
chr12	76994780	77011250	77010413	77010554
chr12	77075569	77112406	77088656	77088797
chr12	77075569	77112406	77109806	77109947
chr12	77173025	77209602	77189722	77189863
chr12	77239674	77300092	77254446	77254587
chr12	77239674	77300092	77288256	77288397
chr12	77327209	77368253	77356737	77356878
chr12	77400864	77561861	77401002	77401143
chr12	78223010	78316679	78229814	78229955
chr12	78223010	78316679	78265112	78265253
chr12	78804256	78853981	78807122	78807263
chr12	79462008	79548779	79520255	79520396
chr12	79569265	79574878	79569724	79569865
chr12	79569265	79574878	79571907	79572048
chr12	79569265	79574878	79574475	79574616
chr12	79700964	79705231	79703634	79703775
chr12	79700964	79705231	79704610	79704751
chr12	79951395	79979013	79964900	79965041
chr12	79951395	79979013	79975949	79976090
chr12	80016575	80018876	80017851	80017992
chr12	80016575	80018876	80018049	80018190
chr12	80039760	80058709	80042036	80042177
chr12	80078754	80089536	80084395	80084536
chr12	80078754	80089536	80086823	80086964
chr12	80390880	80434234	80392098	80392239
chr12	80390880	80434234	80406134	80406275
chr12	80729671	80753153	80731117	80731258
chr12	80729671	80753153	80733158	80733299
chr12	80780717	80782519	80780931	80781072
chr12	80780717	80782519	80782098	80782239
chr12	80780717	80782519	80782294	80782435
chr12	80947934	81067870	80951876	80952017
chr12	80947934	81067870	80982525	80982666
chr12	80947934	81067870	81016195	81016336
chr12	80947934	81067870	81052577	81052718
chr12	81879098	81943718	81937193	81937334
chr12	82003133	82124894	82018823	82018964
chr12	82003133	82124894	82084488	82084629
chr12	82003133	82124894	82109810	82109951
chr12	82318315	82342302	82324926	82325067
chr12	82489239	82494294	82492343	82492484
chr12	82489239	82494294	82494061	82494202
chr12	82525814	82566541	82552314	82552455
chr12	82587322	82604227	82587860	82588001
chr12	82636657	82676905	82652328	82652469
chr12	83162220	83447723	83329322	83329463
chr12	83162220	83447723	83339933	83340074
chr12	83482432	83878847	83696604	83696745
chr12	83482432	83878847	83831946	83832087
chr12	83482432	83878847	83836769	83836910
chr12	84304556	84350657	84319752	84319893
chr12	84304556	84350657	84345173	84345314
chr12	84371976	84438432	84372792	84372933
chr12	84371976	84438432	84376184	84376325
chr12	84371976	84438432	84414933	84415074
chr12	84460048	84482396	84462181	84462322
chr12	84518906	84849490	84818757	84818898
chr12	85002657	85004316	85003094	85003235
chr12	85002657	85004316	85003601	85003742
chr12	85002657	85004316	85003794	85003935
chr12	85606905	85695964	85620803	85620944
chr12	85606905	85695964	85681654	85681795
chr12	85606905	85695964	85692680	85692821
chr12	85722868	85771890	85725617	85725758
chr12	85722868	85771890	85735453	85735594
chr12	85722868	85771890	85750437	85750578
chr12	85722868	85771890	85764636	85764777
chr12	85846409	85864294	85847326	85847467
chr12	85846409	85864294	85858738	85858879
chr12	85846409	85864294	85861453	85861594
chr12	85846409	85864294	85863631	85863772
chr12	86849000	87031915	86871010	86871151
chr12	86849000	87031915	86954195	86954336
chr12	87197540	87320738	87244540	87244681
chr12	87197540	87320738	87249331	87249472
chr12	87197540	87320738	87269552	87269693
chr12	87398224	87419151	87401531	87401672
chr12	87398224	87419151	87412124	87412265
chr12	87398224	87419151	87414056	87414197
chr12	87398224	87419151	87417956	87418097
chr12	87450601	87602216	87493502	87493643
chr12	87450601	87602216	87507729	87507870
chr12	87450601	87602216	87560540	87560681
chr12	87680522	87736546	87685498	87685639
chr12	87831469	87934885	87845630	87845771
chr12	87831469	87934885	87877554	87877695
chr12	87831469	87934885	87925073	87925214
chr12	87960818	87970034	87960920	87961061
chr12	88243894	88369308	88289459	88289600
chr12	88243894	88369308	88295568	88295709
chr12	88243894	88369308	88301872	88302013
chr12	88243894	88369308	88326141	88326282
chr12	88429279	88482792	88429710	88429851
chr12	88429279	88482792	88442526	88442667
chr12	88429279	88482792	88456384	88456525
chr12	88610599	88739452	88631911	88632052
chr12	88610599	88739452	88713112	88713253
chr12	88794284	88856642	88828299	88828440
chr12	88794284	88856642	88831180	88831321
chr12	88876763	89001125	88894001	88894142
chr12	89240010	89272222	89257964	89258105
chr12	89240010	89272222	89262646	89262787
chr12	89292285	89309298	89305097	89305238
chr12	89329606	89337234	89336444	89336585
chr12	89362501	89372138	89369138	89369279
chr12	89551542	89578048	89560594	89560735
chr12	89551542	89578048	89575858	89575999
chr12	89551542	89578048	89576277	89576418
chr12	89827100	89909220	89830235	89830376
chr12	89827100	89909220	89851676	89851817
chr12	89827100	89909220	89852246	89852387
chr12	90122289	90243824	90129469	90129610
chr12	90122289	90243824	90178184	90178325
chr12	90273894	90283317	90274547	90274688
chr12	90273894	90283317	90278000	90278141
chr12	90273894	90283317	90281250	90281391
chr12	90310698	90313448	90311456	90311597
chr12	90310698	90313448	90311709	90311850
chr12	90310698	90313448	90311901	90312042
chr12	90310698	90313448	90312144	90312285
chr12	90310698	90313448	90312351	90312492
chr12	90337658	90583566	90400956	90401097
chr12	90337658	90583566	90533442	90533583
chr12	90693348	90752143	90714166	90714307
chr12	90820680	90908022	90827637	90827778
chr12	91014972	91040490	91023419	91023560
chr12	91014972	91040490	91039858	91039999
chr12	91068024	91092628	91071012	91071153
chr12	91068024	91092628	91087986	91088127
chr12	91121494	91130483	91128858	91128999
chr12	91192817	91242443	91227351	91227492
chr12	91263597	91266224	91264606	91264747
chr12	91647394	91865302	91678546	91678687
chr12	91890667	91906293	91900886	91901027
chr12	92195784	92249262	92210774	92210915
chr12	92195784	92249262	92223301	92223442
chr12	92195784	92249262	92232792	92232933
chr12	92407304	92410085	92409926	92410067
chr12	92442999	92456678	92445976	92446117
